Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.700521041 30.291124019),,1,10/1/10,9/30/11,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.700081997 30.200687014),,1,10/1/16,9/30/17,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8,2008,,POINT (-97.704826993 30.292396015),,1,10/1/07,9/30/08,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2015,,POINT (-97.618919023 30.348066981),,1,10/1/14,9/30/15,Austin,TX,
GFO Home,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2020,2022,,POINT (-97.548092025 30.290347017),,1,10/1/21,9/30/22,Manor,TX,
Robski Homes Inc,,78703,0,0,0,1,0,4-star,,Residential,,,Single Family,20121,2013,,POINT (-97.76579704 30.286225006),,1,10/1/12,9/30/13,Austin,TX,
Casa Verde Builders,,78702,0,1,0,0,0,2-star,,Residential,,,Single Family,II,1996,,POINT (-97.719288039 30.264398991),,1,10/1/95,9/30/96,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.594291986 30.148680992),,1,10/1/21,9/30/22,Del Valle,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2008,,POINT (-97.734860022 30.199166997),,1,10/1/07,9/30/08,Austin,TX,
M/I Homes,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.810296853 30.116699708),,1,10/1/20,9/30/21,Austin,TX,
Saldana Homes,,78702,0,0,0,0,1,5-star,,Residential,,,Single Family,2016,2021,,POINT (-97.701383958 30.268771998),,1,10/1/20,9/30/21,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.651657983 30.356896981),,1,10/1/18,9/30/19,Austin,TX,
Drees Custom Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.794824325 30.485826619),,1,10/1/13,9/30/14,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2013,,POINT (-97.680990034 30.311552016),,1,10/1/12,9/30/13,Austin,TX,
Newmark Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.777363983 30.409366018),,1,10/1/00,9/30/01,Austin,TX,
Hammonds Homes,,78738,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.964000971 30.322058019),,1,10/1/04,9/30/05,Austin,TX,
Theologos Custom Homes,,78759,0,0,0,1,0,4-star,,Residential,,,Single Family,6,2002,,POINT (-97.764119989 30.408573006),,1,10/1/01,9/30/02,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.725325021 30.15861602),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.702386015 30.293224985),,1,10/1/09,9/30/10,Austin,TX,
Texas Capitol Builders,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2014,,POINT (-97.75021701 30.159639996),,1,10/1/13,9/30/14,Austin,TX,
Main Street Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.82914101 30.152168996),,1,10/1/03,9/30/04,Austin,TX,
Elizabeth Salaiz Architect Inc.,,78751,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.72543298 30.301600015),,1,10/1/01,9/30/02,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.618104973 30.169068002),,1,10/1/06,9/30/07,Del Valle,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.697128969 30.299551981),,1,10/1/19,9/30/20,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.747735967 30.149764982),,1,10/1/06,9/30/07,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.702123997 30.296156011),,1,10/1/11,9/30/12,Austin,TX,
PSW Homes,,78745,0,0,0,0,1,5-star,,Residential,,,Single Family,20121,2016,,POINT (-97.783711011 30.206869003),,1,10/1/15,9/30/16,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2002,,POINT (-97.737780026 30.159620005),,1,10/1/01,9/30/02,Austin,TX,
W. T. Moore Construction,,78704,0,0,0,0,1,5-star,,Residential,,,Single Family,7.2,2005,,POINT (-97.741262958 30.244235988),,1,10/1/04,9/30/05,Austin,TX,
Antero Homes,,78725,0,1,0,0,0,2-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.668510972 30.261476012),,1,10/1/09,9/30/10,Austin,TX,
Main Street Homes,,78723,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.668134038 30.290486994),,1,10/1/07,9/30/08,Austin,TX,
D.R. Horton,,78757,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2015,,POINT (-97.719651981 30.34235199),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.732599004 30.198657001),,1,10/1/03,9/30/04,Austin,TX,
The Cobra Team,,,,,,,,,,,,,,,,,,,,,,,,
Mangum Homes,,78610,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2003,,POINT (-97.91053499 30.074759983),,1,10/1/02,9/30/03,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2003,,POINT (-97.74210601 30.161626004),,1,10/1/02,9/30/03,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.888445993 30.382961012),,1,10/1/98,9/30/99,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2013,,POINT (-97.702587013 30.297489991),,1,10/1/12,9/30/13,Austin,TX,
Terrata Homes,,78653,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2022,,POINT (-97.548737013 30.290750018),,1,10/1/21,9/30/22,Manor,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2015,,POINT (-97.623096983 30.347131016),,1,10/1/14,9/30/15,Austin,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.692223963 30.222352012),,1,10/1/06,9/30/07,Austin,TX,
Main Street Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1999,,POINT (-97.659172023 30.290525006),,1,10/1/98,9/30/99,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.617819988 30.168620995),,1,10/1/08,9/30/09,Del Valle,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2015,,POINT (-97.794954915 30.488881362),,1,10/1/14,9/30/15,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.694510965 30.195987993),,1,10/1/06,9/30/07,Austin,TX,
Miles Building and Design,,78741,0,0,0,0,1,5-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.693882993 30.242003007),,1,10/1/13,9/30/14,Austin,TX,
Saldana Homes,,78748,0,0,0,1,0,4-star,,Residential,,,Single Family,8,2009,,POINT (-97.80027097 30.163704003),,1,10/1/08,9/30/09,Austin,TX,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.90357801 30.376866991),,1,10/1/02,9/30/03,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.819851012 30.188321988),,1,10/1/04,9/30/05,Austin,TX,
Master Builders,,,,,,,,,,,,,,,,,,,,,,,,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.815851 30.188910021),,1,10/1/03,9/30/04,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.650574035 30.357572981),,1,10/1/18,9/30/19,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2006,,POINT (-97.820459035 30.188910985),,1,10/1/05,9/30/06,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2008,,POINT (-97.623485 30.1722813),,1,10/1/07,9/30/08,Del Valle,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.738959025 30.147909983),,1,10/1/09,9/30/10,Austin,TX,
Newmark Homes,,78749,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.872782982 30.210136981),,1,10/1/01,9/30/02,Austin,TX,
Main Street Homes,,78724,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.640251973 30.304242997),,1,10/1/99,9/30/00,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.730197002 30.225201985),,1,10/1/03,9/30/04,Austin,TX,
Hammonds Homes,,78732,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.904260968 30.357859014),,1,10/1/04,9/30/05,Austin,TX,
Newmark Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.680086967 30.42553999),,1,10/1/00,9/30/01,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2008,,POINT (-97.61976702 30.166932),,1,10/1/07,9/30/08,Del Valle,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.648071031 30.358430995),,1,10/1/18,9/30/19,Austin,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.790673188 30.480454574),,1,10/1/17,9/30/18,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.810648017 30.12662699),,1,10/1/16,9/30/17,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.695371033 30.20244801),,1,10/1/19,9/30/20,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.701140967 30.203535017),,1,10/1/19,9/30/20,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,4-star,,Residential,,,Single Family,8.1,2010,,POINT (-97.704810983 30.291705011),,1,10/1/09,9/30/10,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.741371001 30.159677002),,1,10/1/04,9/30/05,Austin,TX,
Townbridge Homes,,,,,,,,,,,,,,,,,,,,,,,,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.720208037 30.342848995),,1,10/1/17,9/30/18,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.742763989 30.150447018),,1,10/1/08,9/30/09,Austin,TX,
Newcastle Homes,,78702,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2003,,POINT (-97.710329964 30.254454995),,1,10/1/02,9/30/03,Austin,TX,
Newmark Homes,,78730,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.855170005 30.369111006),,1,10/1/99,9/30/00,Austin,TX,
David Weekley Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.789842457 30.489645079),,1,10/1/15,9/30/16,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2014,,POINT (-97.741565964 30.147715984),,1,10/1/13,9/30/14,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.695837988 30.200745016),,1,10/1/20,9/30/21,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2019,,POINT (-97.588725983 30.152208014),,1,10/1/18,9/30/19,Del Valle,TX,
Centex Homes,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2012,,POINT (-97.62671302 30.280203992),,1,10/1/11,9/30/12,Austin,TX,
AYW GreenBuilders,,78721,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2000,,POINT (-97.759473984 30.18016099),,1,10/1/99,9/30/00,Austin,TX,
KB Home,,78747,0,1,0,0,0,2-star,,Residential,,,Single Family,2008.2,2015,,POINT (-97.741466974 30.14819501),,1,10/1/14,9/30/15,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2019,,POINT (-97.591857965 30.149900015),,1,10/1/18,9/30/19,Del Valle,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2006,,POINT (-97.691810987 30.22430399),,1,10/1/05,9/30/06,Austin,TX,
Wes Peoples Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.830363008 30.192902992),,1,10/1/17,9/30/18,Austin,TX,
MileStone Community Builders,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.721540005 30.164007009),,1,10/1/16,9/30/17,Austin,TX,
David Weekley Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.855130023 30.196956019),,1,10/1/03,9/30/04,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.738540013 30.15011698),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.740423008 30.150102018),,1,10/1/08,9/30/09,Austin,TX,
Newmark Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.69311102 30.428534006),,1,10/1/98,9/30/99,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2009,,POINT (-97.619992996 30.167515003),,1,10/1/08,9/30/09,Del Valle,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.790947899 30.490036984),,1,10/1/15,9/30/16,Austin,TX,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2022,,POINT (-97.759586972 30.156069012),,1,10/1/21,9/30/22,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.700777025 30.293512987),,1,10/1/10,9/30/11,Austin,TX,
David Weekley Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.791185071 30.488055619),,1,10/1/15,9/30/16,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2021,,POINT (-97.696031024 30.298594013),,1,10/1/20,9/30/21,Austin,TX,
M/I Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.754282988 30.155207017),,1,10/1/17,9/30/18,Austin,TX,
Newmark Homes,,78759,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2003,,POINT (-97.777565987 30.407338981),,1,10/1/02,9/30/03,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.702222987 30.298797987),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2003,,POINT (-97.74199101 30.164286001),,1,10/1/02,9/30/03,Austin,TX,
SkyWest Builders,,78746,0,0,0,0,1,5-star,,Residential,,,Single Family,2016,2018,,POINT (-97.797105963 30.312708006),,1,10/1/17,9/30/18,Austin,TX,
PSW Homes,,78745,0,0,0,1,0,4-star,,Residential,,,Single Family,2013,2019,,POINT (-97.772449002 30.193584985),,1,10/1/18,9/30/19,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2018,,POINT (-97.590250986 30.152008985),,1,10/1/17,9/30/18,Del Valle,TX,
Townbridge Homes,,78748,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2019,,POINT (-97.834463016 30.170523981),,1,10/1/18,9/30/19,Austin,TX,
Legacy DCS,,,,,,,,,,,,,,,,,,,,,,,,
Austin Habitat for Humanity,,78724,0,0,0,0,0,5-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.64732303 30.294171008),,1,10/1/11,9/30/12,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.733971038 30.198926982),,1,10/1/03,9/30/04,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2019,,POINT (-97.698895036 30.296546985),,1,10/1/18,9/30/19,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.717697992 30.145817986),,1,10/1/21,9/30/22,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.889259038 30.382583994),,1,10/1/98,9/30/99,Austin,TX,
David Weekley Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2017,,POINT (-97.789605082 30.485912115),,1,10/1/16,9/30/17,Austin,TX,
KB Home,,78758,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.617151028 30.170639986),,1,10/1/09,9/30/10,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2009,,POINT (-97.696930989 30.198273989),,1,10/1/08,9/30/09,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.716681016 30.154553019),,1,10/1/21,9/30/22,Austin,TX,
Saldana Homes,,,,,,,,,,,,,,,,,,,,,,,,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.720355977 30.343679013),,1,10/1/15,9/30/16,Austin,TX,
Another Great House,,78757,0,0,0,0,1,5-star,,Residential,,,Single Family,2010.1,2012,,POINT (-97.727524013 30.351026002),,1,10/1/11,9/30/12,Austin,TX,
Newmark Homes,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.65622897 30.377718006),,1,10/1/03,9/30/04,Austin,TX,
Lennar,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2022,,POINT (-97.810733494 30.131041629),,1,10/1/21,9/30/22,Austin,TX,
Clark Wilson Homes,,78735,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2000,,POINT (-97.835477981 30.255779),,1,10/1/99,9/30/00,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2020,,POINT (-97.697915024 30.296112006),,1,10/1/19,9/30/20,Austin,TX,
The Muskin Company,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,2013,2016,,POINT (-97.695202975 30.291529996),,1,10/1/15,9/30/16,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.725325021 30.15861602),,1,10/1/20,9/30/21,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.888622013 30.381345987),,1,10/1/98,9/30/99,Austin,TX,
David Weekley Homes,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.655265973 30.375029007),,1,10/1/03,9/30/04,Austin,TX,
Newmark Homes,,78739,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.897513033 30.376970004),,1,10/1/98,9/30/99,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2019,,POINT (-97.696954039 30.295545012),,1,10/1/18,9/30/19,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2016,,POINT (-97.765932995 30.136445006),,1,10/1/15,9/30/16,Austin,TX,
Newmark Homes,,78730,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.856057984 30.368206012),,1,10/1/01,9/30/02,Austin,TX,
NuHome Development Co.,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.81410396 30.182488016),,1,10/1/04,9/30/05,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.769283996 30.141754984),,1,10/1/07,9/30/08,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.649995013 30.357285985),,1,10/1/18,9/30/19,Austin,TX,
Clark Wilson Homes,,78735,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1998,,POINT (-97.832491006 30.254242011),,1,10/1/97,9/30/98,Austin,TX,
PSW Real Estate,,78745,0,0,0,0,1,5-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.783711011 30.206869003),,1,10/1/15,9/30/16,Austin,TX,
Clark Wilson Homes,,78746,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.930508981 30.309562991),,1,10/1/99,9/30/00,Austin,TX,
Newmark Homes,,78727,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.894319025 30.194952996),,1,10/1/01,9/30/02,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2017,,POINT (-97.766158971 30.142621002),,1,10/1/16,9/30/17,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2018,,POINT (-97.698360019 30.298137996),,1,10/1/17,9/30/18,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.701227971 30.291246981),,1,10/1/09,9/30/10,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.899652011 30.35947802),,1,10/1/03,9/30/04,Austin,TX,
KB Home,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2011,,POINT (-97.616949024 30.170963989),,1,10/1/10,9/30/11,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.791730481 30.481602056),,1,10/1/15,9/30/16,Austin,TX,
Austin Housing Finance,,78752,0,0,1,0,0,3-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.697913012 30.328105982),,1,10/1/04,9/30/05,Austin,TX,
Empire Communities,,78747,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.755701038 30.154358014),,1,10/1/20,9/30/21,Austin,TX,
The Brohn Group,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.579304975 30.335167986),,1,10/1/19,9/30/20,Manor,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.716754022 30.146524999),,1,10/1/20,9/30/21,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.723717442 30.157320341),,1,10/1/20,9/30/21,Austin,TX,
The Maroney Company,,78703,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.772921993 30.302922009),,1,10/1/07,9/30/08,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.816193988 30.187953981),,1,10/1/03,9/30/04,Austin,TX,
Townbridge Homes,,,,,,,,,,,,,,,,,,,,,,,,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.740316977 30.161659992),,1,10/1/03,9/30/04,Austin,TX,
Casas Sendero Development/Westminster Meadows,,78722,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.644594972 30.290414994),,1,10/1/03,9/30/04,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2017,,POINT (-97.765870969 30.142777995),,1,10/1/16,9/30/17,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.62877304 30.166745),,1,10/1/06,9/30/07,Del Valle,TX,
Hammonds Homes,,78734,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.934125018 30.427633999),,1,10/1/04,9/30/05,Lakeway,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.616661022 30.346619007),,1,10/1/13,9/30/14,Austin,TX,
